,seller_id
44585,957
44592,1251
44614,2040
44619,2112
44653,3293
44694,4436
44696,4474
44700,4662
44707,5077
44711,5328
44730,5764
44735,5894
44738,5995
44741,6162
44753,6372
44784,7225
44787,7255
44803,7721
44825,8420
44832,8528
44857,9445
44863,9596
44876,10205
44882,10295
44888,10459
44891,10573
44892,10607
44896,10788
44897,10852
44898,10944
44903,11172
44926,12084
44939,12674
44944,12920
44954,13460
44956,13546
44961,13824
44966,14038
44981,14563
44984,14666
44992,14808
44995,15138
45009,15552
45016,15755
45038,16525
45044,16798
45060,17146
45081,17641
45103,18687
45109,18892
45122,19174
45126,19242
45127,19263
45146,19941
45160,20255
45162,20318
45172,20512
45174,20545
45177,20732
45193,21080
45197,21202
45198,21262
45199,21299
45213,21626
45215,21656
45222,22011
45228,22227
45240,22685
45279,23891
45283,24094
45288,24155
45308,24588
45325,25009
45335,25407
45345,25827
45349,26045
45357,26158
45366,26301
45400,27020
45406,27163
45407,27212
45414,27425
45442,28133
45449,28311
45457,28599
45459,28789
45461,28817
45468,29100
45470,29118
45488,29683
45492,29924
45499,30078
45523,30803
45542,31065
45553,31194
45560,31362
45584,32027
45599,32249
45607,32391
45609,32441
45611,32459
45624,32800
45626,32868
45631,32927
45639,33046
45656,33437
45657,33457
45679,33829
45688,34004
45689,34007
45690,34042
45695,34173
45701,34315
45713,34522
45722,34872
45725,34976
45735,35245
45756,35871
45759,35958
45769,36204
45779,36447
45819,37518
45820,37522
45846,38326
45858,38662
45866,38886
45879,39119
45900,39750
45902,39783
45921,40187
45928,40315
45932,40430
45948,40849
45953,40879
45955,40895
45967,41069
45988,41547
45995,41749
46003,41919
46009,41977
46032,42529
46037,42679
46051,42925
46054,42982
46061,43158
46070,43397
46072,43422
46073,43483
46074,43534
46076,43600
46087,43779
46107,44125
46115,44322
46121,44397
46135,44550
46137,44603
46145,44680
46148,44700
46189,45507
46195,45602
46201,45732
46233,46231
46235,46254
46244,46451
46253,46541
46255,46588
46264,46720
46266,46764
46268,46779
46270,46802
46272,46862
46274,46891
46275,46919
46276,46943
46290,47118
46292,47138
46312,47488
46314,47498
46318,47599
46323,47667
46336,47778
46354,48050
46365,48208
46380,48440
46382,48462
46384,48500
46388,48533
46391,48574
46393,48592
46395,48602
46399,48648
46404,48706
46406,48717
46423,48922
46434,49031
46451,49178
46455,49255
46461,49327
46466,49431
46471,49497
46493,49814
46512,50033
46513,50040
46520,50092
46523,50131
46527,50149
46538,50275
46541,50288
46543,50314
46554,50410
46557,50421
46562,50449
46563,50452
46567,50501
46572,50565
46574,50578
46577,50602
46590,50690
46600,50764
46614,50967
46624,51088
46635,51179
46639,51216
46644,51282
46645,51284
46659,51454
46660,51456
46662,51466
46668,51517
46684,51595
46689,51623
46695,51667
46703,51743
46723,51866
46724,51871
46727,51882
46729,51891
46734,51923
46737,51930
46744,51955
46753,51998
46754,52004
46755,52005
46801,52517
46805,52533
46808,52556
