,seller_id
39398,957
39409,1287
39412,1357
39444,2449
39458,2768
39470,3101
39486,3761
39509,4275
39524,4739
39525,4747
39614,7078
39633,7288
39668,8190
39709,9310
39729,9709
39753,10367
39757,10405
39760,10459
39764,10616
39845,13884
39856,14450
39903,15685
39907,15789
39932,16485
39936,16529
39960,17146
39978,17594
39986,17758
39993,18072
39995,18145
39997,18167
40001,18360
40010,18668
40030,19137
40034,19202
40073,20545
40075,20587
40078,20639
40081,20732
40097,21132
40122,21758
40201,23669
40212,23891
40291,26045
40340,27016
40345,27074
40367,27552
40400,28222
40405,28289
40477,29998
40479,30067
40480,30078
40546,31242
40570,31795
40621,32451
40727,34413
40755,34923
40771,35299
40781,35656
40804,36081
40937,38886
40977,39750
41021,40437
41045,40748
41065,41032
41100,41646
41116,41919
41127,42048
41173,42887
41206,43600
41228,43891
41247,44125
41249,44140
41263,44322
41265,44355
41283,44516
41287,44594
41289,44603
41297,44680
41316,45033
41320,45079
41359,45589
41366,45742
41396,46001
41423,46311
41445,46541
41447,46586
41450,46617
41468,46919
41482,47048
41506,47233
41508,47242
41509,47246
41510,47254
41563,47750
41567,47777
41569,47780
41588,47986
41628,48341
41640,48447
41677,48706
41683,48724
41693,48795
41722,48922
41752,49086
41757,49112
41764,49132
41768,49153
41775,49176
41859,49682
