,seller_id
41979,261
41981,478
41984,556
41996,973
42039,2112
42077,3101
42092,3788
42118,4275
42138,4747
42151,5077
42169,5601
42177,5697
42195,6142
42196,6162
42227,6982
42236,7201
42240,7255
42310,9310
42334,9709
42456,13824
42525,15595
42543,16116
42549,16293
42587,17146
42618,18072
42621,18167
42625,18317
42633,18668
42679,19884
42698,20317
42735,21132
42756,21640
42826,23669
42871,24735
42873,24898
42885,25270
42889,25407
42932,26712
43037,28989
43041,29118
43046,29194
43047,29215
43056,29447
43075,29925
43082,30078
43135,31242
43159,31795
43178,32027
43183,32088
43222,32700
43226,32800
43248,33161
43277,33702
43328,34577
43361,35455
43405,36650
43417,36959
43458,38058
43500,38870
43534,39750
43554,40187
43566,40430
43588,40849
43591,40879
43597,40938
43619,41296
43653,42048
43658,42145
43698,42887
43733,43600
43747,43891
43751,43934
43762,44125
43809,44603
43837,45033
43882,45602
43919,46001
43954,46448
43970,46617
43982,46862
44017,47233
44025,47354
44055,47691
44066,47778
44074,47928
44112,48341
44127,48488
44128,48500
44132,48524
44140,48574
44149,48648
44154,48706
44156,48716
44163,48795
44177,48922
44204,49153
44209,49178
44220,49327
44236,49507
44246,49642
44252,49682
44292,50061
44299,50092
44309,50149
44349,50349
44365,50442
44382,50504
44408,50628
44516,51179
