,seller_id
46985,84
46986,167
46999,746
47040,2646
47056,3293
47065,3705
47095,4462
47112,5077
47170,6982
47200,7561
47328,12084
47409,15552
47410,15595
47417,15789
47425,16116
47486,17866
47487,17901
47488,17974
47494,18167
47499,18338
47520,19115
47524,19202
47531,19338
47558,20317
47664,23721
47715,24898
47754,26301
47768,26575
47800,27341
47827,28008
47866,29100
47893,29787
48003,32153
48018,32451
48051,33161
48059,33437
48063,33534
48127,34872
48228,37808
48237,38237
48267,38721
48323,40196
48363,40879
48365,40910
48457,42850
48522,44234
48590,45507
48592,45539
48601,45669
48613,45849
48614,45853
48637,46188
48728,47645
48740,47778
48764,48181
48785,48447
48794,48574
48834,49117
48841,49178
48861,49509
48919,50349
48933,50496
48937,50560
48944,50661
48949,50700
48959,50843
48964,51009
48987,51291
49033,51832
49040,51923
49069,52463
49094,53104
49133,53312
49138,53330
49197,53641
