,seller_id
39379,171
39381,261
39382,299
39386,478
39387,501
39415,1447
39418,1586
39429,2040
39433,2112
39443,2412
39452,2592
39464,2953
39483,3705
39495,3997
39499,4172
39505,4258
39512,4363
39517,4436
39538,5077
39561,5697
39563,5738
39571,5836
39583,6162
39591,6304
39592,6439
39598,6757
39600,6776
39609,6982
39610,6984
39624,7206
39625,7222
39626,7225
39630,7255
39636,7335
39638,7369
39643,7474
39645,7561
39653,7721
39657,7840
39665,8044
39680,8420
39713,9369
39721,9436
39722,9445
39724,9471
39725,9487
39733,9835
39735,9865
39747,10205
39752,10366
39769,10852
39798,12084
39801,12313
39805,12427
39806,12458
39809,12530
39813,12674
39818,12795
39819,12822
39821,12839
39823,13056
39826,13184
39830,13391
39834,13460
39844,13826
39885,15163
39898,15550
39901,15595
39904,15699
39918,16119
39920,16165
39921,16190
39923,16293
39925,16385
39964,17278
40006,18557
40026,19027
40033,19174
40065,20323
40069,20442
40080,20709
40088,20895
40102,21275
40103,21325
40105,21360
40113,21460
40116,21568
40118,21626
40121,21656
40134,22011
40140,22242
40148,22371
40152,22434
40182,23257
40190,23376
40217,24097
40237,24470
40238,24526
40244,24588
40259,24898
40283,25722
40286,25817
40295,26158
40297,26246
40298,26262
40302,26301
40304,26380
40309,26429
40327,26798
40331,26867
40337,26955
40342,27020
40352,27268
40362,27472
40380,27853
40381,27857
40406,28306
40409,28374
40410,28381
40414,28597
40415,28599
40421,28800
40430,29100
40435,29177
40440,29251
40450,29447
40453,29493
40461,29683
40467,29924
40468,29925
40474,29969
40495,30305
40513,30714
40519,30817
40532,31050
40540,31148
40553,31362
40559,31576
40560,31641
40561,31657
40568,31714
40576,31920
40586,32027
40591,32079
40602,32225
40618,32417
40620,32441
40626,32597
40631,32727
40633,32800
40637,32901
40655,33161
40658,33253
40662,33319
40667,33436
40670,33458
40672,33523
40680,33647
40702,33983
40703,33991
40705,34007
40707,34042
40710,34121
40714,34173
40716,34240
40719,34315
40721,34327
40724,34347
40731,34448
40743,34577
40745,34620
40749,34695
40751,34768
40753,34829
40767,35235
40769,35275
40772,35314
40795,35958
40806,36112
40811,36178
40813,36204
40814,36214
40815,36230
40831,36626
40868,37518
40879,37772
40880,37778
40884,37848
40886,37882
40895,38255
40904,38323
40907,38341
40909,38356
40928,38768
40929,38769
40941,38956
40943,39026
40944,39036
40946,39086
40963,39473
40979,39783
40993,39915
40996,39997
40997,40003
41004,40187
41006,40193
41020,40430
41033,40560
41038,40683
41043,40727
41044,40746
41051,40849
41055,40879
41059,40938
41068,41094
41070,41143
41087,41383
41089,41465
41098,41605
41103,41706
41105,41734
41108,41750
41112,41799
41114,41883
41128,42055
41136,42204
41138,42233
41140,42274
41142,42329
41147,42423
41154,42529
41175,42907
41193,43158
41194,43218
41195,43219
41205,43534
41219,43762
41227,43889
41246,44108
41248,44137
41261,44287
41262,44294
41288,44595
41304,44756
41307,44801
41309,44834
41315,44993
41333,45251
41341,45405
41345,45439
41351,45502
41352,45507
41355,45539
41361,45602
41363,45697
41388,45950
41392,45977
41406,46138
41413,46203
41419,46254
41426,46336
41428,46354
41429,46355
41431,46385
41432,46438
41436,46452
41440,46519
41442,46529
41448,46588
41460,46772
41463,46792
41464,46862
41466,46876
41469,46943
41475,46998
41480,47028
41493,47118
41496,47139
41501,47203
41502,47217
41507,47235
41511,47278
41512,47282
41524,47400
41527,47424
41530,47478
41537,47539
41538,47542
41539,47551
41551,47666
41552,47667
41555,47691
41556,47702
41560,47735
41561,47740
41566,47772
41568,47778
41589,47990
41596,48042
41598,48061
41603,48159
41608,48196
41612,48222
41613,48229
41620,48278
41622,48302
41625,48321
41630,48370
41633,48388
41641,48462
41647,48524
41656,48574
41659,48594
41662,48607
41664,48633
41667,48648
41681,48717
41690,48788
41700,48823
41711,48887
41723,48935
41725,48943
41727,48950
41734,48991
41737,49002
41739,49009
41740,49028
41741,49031
41753,49089
41761,49123
41762,49129
41763,49131
41777,49178
41779,49180
41795,49293
41797,49303
41798,49326
41803,49369
41806,49382
41809,49416
41813,49440
41820,49477
41824,49486
41830,49509
41837,49547
41848,49642
41863,49725
41867,49765
41880,49814
41897,49911
