,seller_id
44575,478
44595,1284
44649,3101
44667,3867
44702,4747
44750,6304
44923,11999
44946,13056
44965,13884
45011,15595
45014,15685
45019,15789
45026,16116
45093,18145
45095,18167
45102,18668
45117,19115
45124,19202
45143,19884
45161,20317
45195,21132
45231,22332
45246,22763
45319,24787
45332,25325
45401,27022
45412,27360
45574,31832
45597,32237
45621,32700
45645,33161
45694,34139
45698,34281
45829,37778
45895,39473
45944,40748
45956,40910
46044,42767
46117,44355
46144,44679
46160,45033
46172,45244
46206,45849
46254,46586
46283,47028
46316,47542
46321,47645
46338,47828
46373,48330
46378,48426
46405,48716
46415,48862
46442,49117
46460,49303
46550,50349
46564,50455
46586,50661
46591,50700
46603,50827
46618,51052
46633,51172
46667,51514
46680,51579
46683,51590
46720,51861
46721,51862
46764,52077
46802,52518
