,seller_id
46990,261
46992,437
46994,478
47003,883
47022,1616
47051,3101
47068,3827
47069,3867
47070,3885
47082,4258
47083,4275
47084,4278
47099,4662
47102,4739
47103,4747
47109,4987
47113,5108
47119,5328
47127,5502
47134,5803
47151,6304
47163,6769
47184,7222
47195,7448
47203,7657
47211,7813
47225,8122
47241,8528
47242,8545
47253,9076
47261,9368
47269,9445
47275,9978
47290,10389
47293,10459
47302,10852
47303,10999
47314,11459
47315,11468
47339,12674
47348,13056
47354,13410
47357,13546
47362,13769
47365,13877
47370,14046
47402,15285
47405,15458
47416,15755
47432,16461
47433,16507
47441,16746
47449,16927
47459,17146
47460,17185
47463,17278
47493,18162
47495,18211
47498,18317
47504,18668
47508,18892
47533,19350
47559,20318
47563,20525
47564,20545
47566,20639
47570,20861
47575,21080
47577,21132
47578,21141
47582,21299
47584,21360
47589,21460
47594,21626
47599,21915
47605,22050
47607,22171
47614,22352
47616,22371
47618,22434
47646,23257
47647,23294
47669,23830
47672,23875
47676,23933
47685,24155
47691,24276
47695,24323
47706,24599
47709,24667
47713,24787
47723,25009
47733,25325
47744,25989
47745,26045
47772,26698
47781,26867
47789,27022
47794,27146
47801,27360
47803,27425
47814,27629
47821,27838
47830,28039
47856,28640
47869,29194
47871,29215
47885,29589
47910,30284
47915,30524
47917,30550
47943,31049
47944,31050
47945,31065
47973,31657
47975,31678
47982,31920
47986,31981
47991,32027
47994,32071
47996,32079
48007,32237
48011,32284
48031,32800
48034,32895
48036,32927
48054,33177
48060,33458
48061,33492
48066,33576
48072,33729
48073,33751
48077,33791
48084,33956
48088,33991
48090,34007
48095,34139
48096,34161
48101,34315
48131,35013
48133,35102
48137,35200
48146,35533
48161,36029
48172,36204
48174,36237
48175,36254
48177,36275
48188,36650
48235,38058
48236,38190
48247,38323
48265,38715
48278,38886
48288,39306
48289,39359
48298,39547
48313,39990
48334,40430
48335,40437
48354,40748
48360,40849
48366,40938
48370,40993
48376,41143
48392,41304
48396,41465
48399,41547
48407,41750
48412,41865
48427,42153
48434,42274
48451,42760
48459,42905
48460,42925
48463,42992
48470,43158
48495,43807
48500,43891
48501,43909
48531,44355
48536,44445
48539,44491
48547,44595
48556,44680
48572,45033
48574,45083
48581,45244
48584,45361
48598,45589
48600,45602
48610,45811
48619,45905
48626,45958
48632,46059
48633,46102
48634,46138
48646,46254
48667,46588
48673,46720
48680,46852
48685,46943
48693,47028
48699,47118
48709,47233
48714,47345
48724,47542
48729,47651
48742,47828
48756,48050
48771,48252
48776,48277
48789,48500
48796,48592
48797,48594
48810,48795
48828,49009
48855,49411
48870,49664
48884,49898
48900,50143
48911,50269
48913,50281
48927,50442
48929,50449
48931,50455
48939,50578
48941,50602
48943,50660
48946,50675
48970,51106
48973,51142
49001,51439
49002,51442
49005,51456
49013,51517
49019,51586
49042,51935
49043,51943
49064,52399
49065,52402
49067,52436
49068,52451
49084,52832
49092,53029
49101,53137
49115,53240
49117,53261
49119,53267
49124,53280
49134,53317
49149,53391
49154,53410
49156,53431
49174,53504
49183,53547
49184,53551
49196,53627
49204,53671
49213,53710
49214,53725
49229,53813
49234,53860
49240,53879
49242,53891
49250,53971
