,selling_amount,step2,count
0,0,0,71
1,0,1,30
2,0,2,17
3,0,3,10
4,0,4,2
5,0,5,4
6,0,7,3
7,0,8,5
8,0,10,3
9,0,11,1
10,0,12,1
11,0,13,1
12,0,14,1
13,0,19,1
14,1,0,3
15,1,5,1
16,4,0,1
17,4,2,1
18,6,2,1
